index,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,rating,genres,mpaa,description,votes
443576,tt0461760,movie,Cut Sleeve Boys,Cut Sleeve Boys,0,2006,\N,86,"Comedy,Romance",6.0,"['comedy', 'romance']",R,,481
4889474,tt1869525,movie,Las piedras,Las piedras,0,2011,\N,75,\N,6.3,,,"In a house in Delta, in a quiet interrupted only by the noise of the boats, a couple lives without crossing each other. He is a writer waiting for the words; she is an alienated employee of the Exterminator House . The relationship crisis (with the domestic, with the other, with the writing, with the present) seems to last in personal trips mixing loneliness and something hypnotic about this world. There is a contemplative realism that contains everything, partly as a perplexed look, but also as a way to analyze a strange corruption where the ordinary is transformed, where the mundane is reflected in the rippling waters of the river until it reflects another face. But an unexpected change in the course of a character will change his life and the tone of the film... This debut film directed, written and performed by Roman Cardenas bet on a visual narrative with brief interruptions of words, where the everyday can coexist to confuse the mystery, absurdity and revelation.",14
987145,tt10034258,movie,Sergiu Celibidache: The Triumphant Return,Sergiu Celibidache: The Triumphant Return,0,1992,\N,55,Documentary,,['documentary'],G,,
2420451,tt12619178,movie,Sojiga,Sojiga,0,2016,\N,\N,Action,,['action'],,,
6556911,tt5116988,movie,Under the Sun,Under the Sun,0,\N,\N,\N,"Adventure,Biography,Drama",,"['adventure', 'biography', 'drama']",,,
267985,tt0279867,movie,Hockey Girl,Hockey Girl,0,2002,\N,\N,Sport,,['sport'],,,
5461315,tt2599006,movie,Tribyville,Tribyville,0,\N,\N,\N,Musical,,['musical'],,,
2205273,tt12219112,movie,Heaven Beneath My Feet,Heaven Beneath My Feet,0,2020,\N,90,Documentary,5.6,['documentary'],,"Heaven Beneath my Feet is the story of three Lebanese Women who are struggling to preserve their right to keep the custody of their children. Lina, who lives in the rural town of Baumholder, Germany, passes her days waiting for the decision of German officials on her residency permit in Germany so she could reunite with her five-year-old son whom she hasn't seen since the father came up with a way to keep him out of her reach; Fatima who lives with her parents in the Southern suburb of Beirut and continuously refuses to give up her four-year-old son after rebelling against the religious authority court and preferred prison instead of obeying their laws; and Zainab from the Beqaa mountains who completely lost her son after her divorce and couldn't win any legal battle to see him, lives her days hanging to a bit of hope.",5
8007012,tt8332260,movie,Anambra Boys,Anambra Boys,0,2018,\N,\N,Drama,,['drama'],,,
391498,tt0408296,movie,Too Loud a Solitude,Une trop bruyante solitude,0,1996,\N,110,"Comedy,Drama",5.6,"['comedy', 'drama']",,,51
