rt_critics_score,rt_audience_score
42,49
,
,
,
94,70
,
,
,
,
,
,
,
,
,100
,
,
,
,
,0
,
,
,
,
,
83,80
,
,
,
17,45
,
,57
83,62
,
,
,85
,
,
,
94,82
,
,
,
,
,
,
,
,
32,34
,
,
,
,
,
,
,
,
,65
,
,
,
,
,
,
,
,
60,32
,
,
,
,
,
,
,
,
,
,
,55
,
,
,
100,86
,
,0
,
,
,
,
,
85,77
,
97,81
,
,
,
,
54,72
,
,
,29
49,32
,
,
,
100,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,40
,
,
,
,
,
,
,
78,54
,
,
,
,
,
,
,
53,42
,
,
,
,
,
,
77,48
,
42,92
,
,
,
,
,
53,49
,
76,49
73,62
,
,
,17
,
,
,
,
17,84
,
,
,
,
,
92,81
,
,
,
,
,
,
,
,
82,
,
,
,
,
,
,
,
100,
,
80,45
,
,80
,
,
,
,
